TripKey,TripNumber,dDate,Recorder,Vessel,TripData.TimeStart,TripData.TimeEnd,Camera,Beaufort,WindDirection,WindSpeed (mph),CloudPer,AirTemp (C),Surface Temp (C),20mTemp (C),Tide,Sightings?,WaveHeight (m),Gen Area,Visibility (km),SightingN,Species,GroupSize,SightingsData.TimeStart,SightingsData.TimeEnd,Latitude,Longitude,Range,Bearing,Comments
828,1,02-Jul-19,Nicole Pegg,Atlanticat,8:30:00 AM,12:20:00 PM,Canon 60D,1,WSW,7,0,11.4,9.7,8.2,Flood,TRUE,0,Ballpark,2.91287,1,La,30,10:30:00 AM,10:41:00 AM,44.05,67.80,60,240,
828,1,02-Jul-19,Nicole Pegg,Atlanticat,8:30:00 AM,12:20:00 PM,Canon 60D,1,WSW,7,0,11.4,9.7,8.2,Flood,TRUE,0,Ballpark,2.91287,2,La,70,10:54:00 AM,11:18:00 AM,44.03,67.85,30,200,
636,1,02-Sep-17,Natalie Hunter,Friendship V,8:30:00 AM,12:15:00 PM,Canon 60D,2,WNW,7,10,12.8,11.8,,Ebb,TRUE,1,,,1,La,150,9:39:00 AM,9:55:00 AM,44.17,67.66,6,50,
636,1,02-Sep-17,Natalie Hunter,Friendship V,8:30:00 AM,12:15:00 PM,Canon 60D,2,WNW,7,10,12.8,11.8,,Ebb,TRUE,1,,,2,La,200,10:50:00 AM,11:04:00 AM,44.05,67.87,30,20,
637,2,02-Sep-17,Natalie Hunter,Friendship V,1:00:00 PM,4:30:00 PM,Canon 60D,2,SSW,9,5,13.7,12.4,,Ebb,TRUE,0,,,2,La,300,3:39:00 PM,3:46:00 PM,44.07,67.82,800,270,
639,1,21-Aug-17,Natalie Hunter,Atlanticat,8:35:00 AM,12:00:00 PM,Canon 60D,1,WSW,4,10,14.6,12.1,,Flood,TRUE,1,,,1,La,200,9:30:00 AM,9:45:00 AM,44.12,67.79,400,35,
639,1,21-Aug-17,Natalie Hunter,Atlanticat,8:35:00 AM,12:00:00 PM,Canon 60D,1,WSW,4,10,14.6,12.1,,Flood,TRUE,1,,,2,La,150,10:08:00 AM,10:24:00 AM,44.13,67.70,100,70,
639,1,21-Aug-17,Natalie Hunter,Atlanticat,8:35:00 AM,12:00:00 PM,Canon 60D,1,WSW,4,10,14.6,12.1,,Flood,TRUE,1,,,3,La,250,10:30:00 AM,10:37:00 AM,44.19,67.65,50,15,
641,3,21-Aug-17,Natalie Hunter,Atlanticat,4:50:00 PM,9:00:00 PM,Canon 60D,1,W,4,5,13.8,,,Ebb,TRUE,,,,1,La,50,6:05:00 PM,6:12:00 PM,44.15,67.43,200,315,
642,1,22-Aug-17,Natalie Hunter,Friendship V,8:35:00 AM,12:18:00 PM,Canon 60D,1,,0,5,0,0,0,,TRUE,,,,1,La,50,9:40:00 AM,9:47:00 AM,44.19,67.57,15,50,
642,1,22-Aug-17,Natalie Hunter,Friendship V,8:35:00 AM,12:18:00 PM,Canon 60D,1,,0,5,0,0,0,,TRUE,,,,3,La,,10:15:00 AM,10:40:00 AM,44.39,-67.07,30,27,
645,1,12-Sep-17,Lauri Leach,Atlanticat,12:05:00 PM,3:45:00 PM,Canon 60D,3,SW,10,40,14,12.2,0,Flood,TRUE,0,,,1,Tt,,2:00:00 PM,2:08:00 PM,43.79,67.90,600,90,
649,1,14-Sep-17,Lauri Leach,Atlanticat,12:00:00 PM,5:35:00 PM,Canon 60D,2,SW,7,50,14.6,13.6,0,Flood,TRUE,1,,,1,La,50,1:03:00 PM,1:15:00 PM,44.20,67.60,400,270,
649,1,14-Sep-17,Lauri Leach,Atlanticat,12:00:00 PM,5:35:00 PM,Canon 60D,2,SW,7,50,14.6,13.6,0,Flood,TRUE,1,,,2,La,,1:28:00 PM,1:31:00 PM,44.18,67.45,400,115,
650,1,03-Oct-17,Liz Virgl,Atlanticat,1:00:00 PM,3:45:00 PM,Canon 60D,3,ESE,3,20,11.7,12.1,0,Ebb,TRUE,0,,,1,La,100,1:40:00 PM,1:50:00 PM,44.10,67.39,15,330,
